Day,Single Room E,Single Room F,Total Single Room Patients,Double Room Patients,Total Patients for Day,Closed Rooms,Total Census Rooms,Month
Saturday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Sunday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Monday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Jan-2022
Tuesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Jan-2022
Wednesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Jan-2022
Thursday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Jan-2022
Friday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Saturday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Sunday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Jan-2022
Monday,8.0,0.0,8.0,8.0,16.0,2.0,16.0,Jan-2022
Tuesday,14.0,0.0,12.0,0.0,12.0,0.0,12.0,Jan-2022
Wednesday,8.0,0.0,6.0,0.0,6.0,0.0,6.0,Jan-2022
Thursday,4.0,0.0,4.0,0.0,4.0,0.0,4.0,Jan-2022
Friday,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Jan-2022
Saturday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Sunday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Monday,2.0,0.0,2.0,0.0,2.0,0.0,2.0,Jan-2022
Tuesday,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Jan-2022
Wednesday,8.0,0.0,8.0,0.0,8.0,0.0,8.0,Jan-2022
Thursday,5.0,0.0,5.0,0.0,5.0,0.0,5.0,Jan-2022
Friday,7.0,0.0,7.0,0.0,7.0,0.0,7.0,Jan-2022
Saturday,0.0,0.0,0.0,9.0,9.0,0.0,9.0,Jan-2022
Sunday,2.0,0.0,2.0,8.0,10.0,0.0,10.0,Jan-2022
Monday,10.0,0.0,10.0,0.0,10.0,0.0,10.0,Jan-2022
Tuesday,9.0,0.0,9.0,2.0,11.0,0.0,11.0,Jan-2022
Wednesday,11.0,0.0,11.0,2.0,13.0,0.0,13.0,Jan-2022
Thursday,13.0,0.0,13.0,0.0,13.0,0.0,13.0,Jan-2022
Friday,12.0,0.0,12.0,0.0,12.0,0.0,12.0,Jan-2022
Saturday,5.0,0.0,5.0,10.0,15.0,0.0,15.0,Jan-2022
Sunday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Jan-2022
Monday,6.0,0.0,6.0,10.0,16.0,0.0,16.0,Jan-2022
Tuesday,6.0,4.0,10.0,6.0,16.0,0.0,16.0,Feb-2022
Wednesday,6.0,5.0,11.0,3.0,14.0,0.0,14.0,Feb-2022
Thursday,6.0,6.0,12.0,2.0,14.0,0.0,14.0,Feb-2022
Friday,6.0,6.0,12.0,2.0,14.0,0.0,14.0,Feb-2022
Saturday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Sunday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Monday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Tuesday,8.0,2.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Wednesday,6.0,4.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Thursday,7.0,6.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Friday,6.0,7.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Saturday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Sunday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Monday,9.0,4.0,13.0,0.0,13.0,0.0,13.0,Feb-2022
Tuesday,4.0,0.0,4.0,7.0,11.0,0.0,11.0,Feb-2022
Wednesday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Feb-2022
Thursday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Feb-2022
Friday,5.0,0.0,5.0,9.0,14.0,0.0,14.0,Feb-2022
Saturday,6.0,4.0,10.0,4.0,14.0,0.0,14.0,Feb-2022
Sunday,6.0,4.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Monday,6.0,4.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Tuesday,6.0,2.0,8.0,10.0,18.0,0.0,18.0,Feb-2022
Wednesday,4.0,2.0,6.0,11.0,17.0,0.0,17.0,Feb-2022
Thursday,6.0,2.0,8.0,8.0,16.0,0.0,16.0,Feb-2022
Friday,7.0,3.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Saturday,8.0,2.0,10.0,5.0,15.0,0.0,15.0,Feb-2022
Sunday,9.0,2.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Monday,8.0,3.0,11.0,4.0,15.0,0.0,15.0,Feb-2022
Tuesday,7.0,2.0,9.0,7.0,16.0,0.0,16.0,Mar-2022
Wednesday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Mar-2022
Thursday,7.0,0.0,7.0,10.0,17.0,0.0,17.0,Mar-2022
Friday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2022
Saturday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Sunday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Monday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Tuesday,8.0,0.0,8.0,9.0,17.0,0.0,17.0,Mar-2022
Wednesday,7.0,0.0,7.0,8.0,15.0,0.0,15.0,Mar-2022
Thursday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Friday,9.0,0.0,9.0,8.0,17.0,0.0,17.0,Mar-2022
Saturday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Sunday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Monday,8.0,0.0,8.0,10.0,18.0,0.0,18.0,Mar-2022
Tuesday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Mar-2022
Wednesday,8.0,0.0,8.0,8.0,16.0,2.0,16.0,Mar-2022
Thursday,8.0,0.0,8.0,8.0,16.0,0.0,16.0,Mar-2022
Friday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Mar-2022
Saturday,7.0,0.0,7.0,9.0,16.0,0.0,16.0,Mar-2022
Sunday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2022
Monday,7.0,0.0,7.0,12.0,19.0,0.0,19.0,Mar-2022
Tuesday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2022
Wednesday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2022
Thursday,7.0,0.0,7.0,11.0,18.0,0.0,18.0,Mar-2022
Friday,5.0,0.0,5.0,13.0,18.0,0.0,18.0,Mar-2022
Saturday,6.0,0.0,6.0,13.0,19.0,0.0,19.0,Mar-2022
Sunday,6.0,0.0,6.0,13.0,19.0,0.0,19.0,Mar-2022
Monday,6.0,0.0,6.0,13.0,19.0,0.0,19.0,Mar-2022
Tuesday,6.0,0.0,6.0,14.0,20.0,0.0,20.0,Mar-2022
Wednesday,6.0,0.0,6.0,11.0,17.0,0.0,17.0,Mar-2022
Thursday,6.0,0.0,6.0,9.0,15.0,0.0,15.0,Mar-2022
Friday,6.0,0.0,6.0,8.0,14.0,0.0,14.0,Apr-2022
Saturday,8.0,0.0,8.0,7.0,15.0,0.0,15.0,Apr-2022
Sunday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Apr-2022
Monday,9.0,0.0,9.0,7.0,16.0,0.0,16.0,Apr-2022
Tuesday,5.0,0.0,5.0,5.0,10.0,0.0,10.0,Apr-2022
Wednesday,7.0,0.0,7.0,7.0,14.0,0.0,14.0,Apr-2022
Thursday,5.0,0.0,5.0,10.0,15.0,0.0,15.0,Apr-2022
Friday,5.0,0.0,5.0,14.0,19.0,0.0,19.0,Apr-2022
Saturday,4.0,0.0,4.0,12.0,16.0,0.0,16.0,Apr-2022
Sunday,5.0,0.0,5.0,12.0,17.0,0.0,17.0,Apr-2022
Monday,5.0,0.0,5.0,12.0,17.0,0.0,17.0,Apr-2022
Tuesday,4.0,10.0,12.0,0.0,12.0,0.0,12.0,Apr-2022
Wednesday,2.0,19.0,5.0,0.0,5.0,0.0,5.0,Apr-2022
Thursday,2.0,19.0,5.0,0.0,5.0,0.0,5.0,Apr-2022
Friday,2.0,21.0,3.0,0.0,3.0,0.0,3.0,Apr-2022
Saturday,2.0,14.0,9.0,0.0,9.0,0.0,9.0,Apr-2022
Sunday,2.0,14.0,10.0,0.0,10.0,0.0,10.0,Apr-2022
Monday,2.0,14.0,10.0,0.0,10.0,0.0,10.0,Apr-2022
Tuesday,2.0,11.0,11.0,0.0,11.0,0.0,11.0,Apr-2022
Wednesday,3.0,7.0,10.0,3.0,13.0,0.0,13.0,Apr-2022
Thursday,3.0,9.0,12.0,2.0,14.0,0.0,14.0,Apr-2022
Friday,2.0,11.0,11.0,0.0,11.0,0.0,11.0,Apr-2022
Saturday,3.0,10.0,13.0,0.0,13.0,0.0,13.0,Apr-2022
Sunday,3.0,10.0,13.0,0.0,13.0,0.0,13.0,Apr-2022
Monday,3.0,10.0,13.0,0.0,13.0,0.0,13.0,Apr-2022
Tuesday,1.0,8.0,9.0,6.0,15.0,0.0,15.0,Apr-2022
Wednesday,1.0,9.0,10.0,6.0,16.0,0.0,16.0,Apr-2022
Thursday,2.0,9.0,11.0,4.0,15.0,0.0,15.0,Apr-2022
Friday,3.0,9.0,9.0,0.0,9.0,0.0,9.0,Apr-2022
Saturday,6.0,6.0,12.0,0.0,12.0,0.0,12.0,Apr-2022
Sunday,5.0,7.0,12.0,1.0,13.0,0.0,13.0,May-2022
Monday,6.0,7.0,13.0,0.0,13.0,0.0,13.0,May-2022
Tuesday,2.0,9.0,11.0,2.0,13.0,0.0,13.0,May-2022
Wednesday,1.0,11.0,12.0,1.0,13.0,0.0,13.0,May-2022
Thursday,1.0,13.0,12.0,0.0,12.0,0.0,12.0,May-2022
Friday,2.0,13.0,11.0,0.0,11.0,0.0,11.0,May-2022
Saturday,2.0,12.0,11.0,0.0,11.0,0.0,11.0,May-2022
Sunday,2.0,12.0,12.0,0.0,12.0,0.0,12.0,May-2022
Monday,2.0,12.0,12.0,0.0,12.0,0.0,12.0,May-2022
Tuesday,3.0,8.0,9.0,0.0,9.0,0.0,9.0,May-2022
Wednesday,3.0,8.0,11.0,1.0,12.0,0.0,12.0,May-2022
Thursday,3.0,9.0,11.0,0.0,11.0,0.0,11.0,May-2022
Friday,3.0,9.0,11.0,0.0,11.0,0.0,11.0,May-2022
Saturday,2.0,10.0,11.0,0.0,11.0,0.0,11.0,May-2022
Sunday,2.0,10.0,12.0,0.0,12.0,0.0,12.0,May-2022
Monday,2.0,10.0,12.0,0.0,12.0,0.0,12.0,May-2022
Tuesday,2.0,10.0,12.0,1.0,13.0,0.0,13.0,May-2022
Wednesday,1.0,10.0,11.0,2.0,13.0,0.0,13.0,May-2022
Thursday,1.0,8.0,9.0,3.0,12.0,0.0,12.0,May-2022
Friday,1.0,14.0,10.0,0.0,10.0,0.0,10.0,May-2022
Saturday,2.0,9.0,11.0,0.0,11.0,0.0,11.0,May-2022
Sunday,2.0,9.0,11.0,0.0,11.0,0.0,11.0,May-2022
Monday,2.0,9.0,11.0,1.0,12.0,0.0,12.0,May-2022
Tuesday,2.0,9.0,11.0,3.0,14.0,0.0,14.0,May-2022
Wednesday,2.0,10.0,12.0,2.0,14.0,0.0,14.0,May-2022
Thursday,1.0,10.0,11.0,3.0,14.0,0.0,14.0,May-2022
Friday,2.0,9.0,11.0,2.0,13.0,0.0,13.0,May-2022
Saturday,3.0,5.0,8.0,8.0,16.0,0.0,16.0,May-2022
Sunday,3.0,5.0,8.0,8.0,16.0,0.0,16.0,May-2022
Monday,3.0,5.0,8.0,8.0,16.0,0.0,16.0,May-2022
Tuesday,3.0,5.0,8.0,8.0,16.0,0.0,16.0,May-2022
Wednesday,4.0,8.0,12.0,2.0,14.0,0.0,14.0,Jun-2022
Thursday,1.0,7.0,8.0,5.0,13.0,0.0,13.0,Jun-2022
Friday,0.0,7.0,7.0,5.0,12.0,0.0,12.0,Jun-2022
Saturday,0.0,7.0,7.0,4.0,11.0,0.0,11.0,Jun-2022
Sunday,0.0,7.0,7.0,5.0,12.0,0.0,12.0,Jun-2022
Monday,0.0,7.0,7.0,6.0,13.0,0.0,13.0,Jun-2022
Tuesday,1.0,7.0,8.0,4.0,12.0,0.0,12.0,Jun-2022
Wednesday,1.0,7.0,8.0,2.0,10.0,0.0,10.0,Jun-2022
Thursday,2.0,7.0,9.0,1.0,10.0,0.0,10.0,Jun-2022
Friday,2.0,7.0,9.0,1.0,10.0,0.0,10.0,Jun-2022
Saturday,2.0,11.0,11.0,0.0,11.0,0.0,11.0,Jun-2022
Sunday,2.0,11.0,12.0,0.0,12.0,0.0,12.0,Jun-2022
Monday,2.0,11.0,12.0,0.0,12.0,0.0,12.0,Jun-2022
Tuesday,3.0,9.0,12.0,1.0,13.0,0.0,13.0,Jun-2022
Wednesday,3.0,9.0,11.0,0.0,11.0,0.0,11.0,Jun-2022
Thursday,4.0,9.0,12.0,0.0,12.0,0.0,12.0,Jun-2022
Friday,3.0,9.0,12.0,0.0,12.0,0.0,12.0,Jun-2022
Saturday,2.0,7.0,9.0,3.0,12.0,0.0,12.0,Jun-2022
Sunday,2.0,7.0,9.0,4.0,13.0,0.0,13.0,Jun-2022
Monday,2.0,7.0,9.0,4.0,13.0,0.0,13.0,Jun-2022
Tuesday,3.0,7.0,10.0,2.0,12.0,0.0,12.0,Jun-2022
Wednesday,5.0,7.0,10.0,0.0,10.0,0.0,10.0,Jun-2022
Thursday,5.0,7.0,11.0,0.0,11.0,0.0,11.0,Jun-2022
Friday,4.0,7.0,11.0,1.0,12.0,0.0,12.0,Jun-2022
Saturday,4.0,7.0,11.0,1.0,12.0,0.0,12.0,Jun-2022
Sunday,5.0,7.0,12.0,2.0,14.0,0.0,14.0,Jun-2022
Monday,5.0,7.0,12.0,2.0,14.0,0.0,14.0,Jun-2022
Tuesday,5.0,6.0,11.0,4.0,15.0,0.0,15.0,Jun-2022
Wednesday,4.0,7.0,11.0,2.0,13.0,0.0,13.0,Jun-2022
Thursday,3.0,7.0,10.0,4.0,14.0,0.0,14.0,Jun-2022
Friday,1.0,7.0,8.0,4.0,12.0,0.0,12.0,Jul-2022
Saturday,1.0,6.0,7.0,5.0,12.0,0.0,12.0,Jul-2022
Sunday,1.0,6.0,7.0,6.0,13.0,0.0,13.0,Jul-2022
Monday,2.0,6.0,8.0,6.0,14.0,0.0,14.0,Jul-2022
Tuesday,2.0,6.0,8.0,6.0,14.0,0.0,14.0,Jul-2022
Wednesday,3.0,6.0,9.0,7.0,16.0,0.0,16.0,Jul-2022
Thursday,3.0,6.0,9.0,6.0,15.0,0.0,15.0,Jul-2022
Friday,2.0,7.0,9.0,6.0,15.0,0.0,15.0,Jul-2022
Saturday,3.0,4.0,7.0,9.0,16.0,0.0,16.0,Jul-2022
Sunday,4.0,4.0,8.0,8.0,16.0,0.0,16.0,Jul-2022
Monday,4.0,4.0,8.0,10.0,18.0,0.0,18.0,Jul-2022
Tuesday,5.0,4.0,9.0,4.0,13.0,0.0,13.0,Jul-2022
Wednesday,4.0,5.0,9.0,4.0,13.0,0.0,13.0,Jul-2022
Thursday,3.0,6.0,9.0,6.0,15.0,0.0,15.0,Jul-2022
Friday,3.0,6.0,9.0,4.0,13.0,0.0,13.0,Jul-2022
Saturday,3.0,7.0,10.0,3.0,13.0,0.0,13.0,Jul-2022
Sunday,4.0,7.0,11.0,3.0,14.0,0.0,14.0,Jul-2022
Monday,4.0,7.0,11.0,3.0,14.0,0.0,14.0,Jul-2022
Tuesday,5.0,5.0,10.0,4.0,14.0,0.0,14.0,Jul-2022
Wednesday,3.0,7.0,10.0,2.0,12.0,0.0,12.0,Jul-2022
Thursday,2.0,7.0,9.0,3.0,12.0,0.0,12.0,Jul-2022
Friday,3.0,7.0,10.0,3.0,13.0,0.0,13.0,Jul-2022
Saturday,3.0,7.0,10.0,2.0,12.0,0.0,12.0,Jul-2022
Sunday,4.0,7.0,11.0,1.0,12.0,0.0,12.0,Jul-2022
Monday,4.0,7.0,11.0,1.0,12.0,0.0,12.0,Jul-2022
Tuesday,4.0,7.0,11.0,0.0,11.0,0.0,11.0,Jul-2022
Wednesday,3.0,7.0,10.0,2.0,12.0,0.0,12.0,Jul-2022
Thursday,5.0,0.0,5.0,10.0,15.0,0.0,15.0,Jul-2022
Friday,3.0,0.0,3.0,11.0,14.0,0.0,14.0,Jul-2022
Saturday,4.0,0.0,4.0,8.0,12.0,0.0,12.0,Jul-2022
Sunday,4.0,0.0,4.0,9.0,13.0,0.0,13.0,Jul-2022
Monday,2.0,0.0,2.0,11.0,13.0,0.0,13.0,Aug-2022
Tuesday,3.0,6.0,9.0,6.0,15.0,0.0,15.0,Aug-2022
Wednesday,2.0,7.0,9.0,4.0,13.0,0.0,13.0,Aug-2022
Thursday,2.0,7.0,9.0,3.0,12.0,0.0,12.0,Aug-2022
Friday,2.0,7.0,9.0,3.0,12.0,1.0,12.0,Aug-2022
Saturday,4.0,7.0,11.0,3.0,14.0,1.0,14.0,Aug-2022
Sunday,5.0,7.0,12.0,1.0,13.0,0.0,13.0,Aug-2022
Monday,4.0,7.0,11.0,2.0,13.0,0.0,13.0,Aug-2022
Tuesday,2.0,8.0,10.0,3.0,13.0,0.0,13.0,Aug-2022
Wednesday,2.0,8.0,10.0,4.0,14.0,0.0,14.0,Aug-2022
Thursday,2.0,8.0,10.0,3.0,13.0,0.0,13.0,Aug-2022
Friday,0.0,8.0,8.0,6.0,14.0,0.0,14.0,Aug-2022
Saturday,0.0,13.0,11.0,0.0,11.0,0.0,11.0,Aug-2022
Sunday,0.0,13.0,13.0,0.0,13.0,0.0,13.0,Aug-2022
Monday,0.0,13.0,13.0,0.0,13.0,0.0,13.0,Aug-2022
Tuesday,0.0,10.0,10.0,2.0,12.0,0.0,12.0,Aug-2022
Wednesday,1.0,12.0,9.0,0.0,9.0,0.0,9.0,Aug-2022
Thursday,0.0,13.0,11.0,0.0,11.0,0.0,11.0,Aug-2022
Friday,0.0,12.0,12.0,1.0,13.0,0.0,13.0,Aug-2022
Saturday,1.0,10.0,11.0,0.0,11.0,0.0,11.0,Aug-2022
Sunday,2.0,10.0,12.0,2.0,14.0,0.0,14.0,Aug-2022
