Date,Total_Single_Patients,Double_Room_Patients,Closed_Rooms,Wasted_Beds,Wasted_Potential,Available_Beds,Efficiency
2023-09-10,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-09-11,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-09-12,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-09-13,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-09-14,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-09-15,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-09-16,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-09-17,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-09-18,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-09-19,6.0,10.0,0.0,6,0,26.0,76.92307692307693
2023-09-20,3.0,13.0,0.0,3,0,26.0,88.46153846153845
2023-09-21,4.0,13.0,4.0,4,0,22.0,81.81818181818183
2023-09-22,2.0,11.0,6.0,2,0,20.0,90.0
2023-09-23,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-09-24,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-09-25,3.0,14.0,5.0,3,0,21.0,85.71428571428571
2023-09-26,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-09-27,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-09-28,10.0,3.0,0.0,10,0,26.0,61.53846153846154
2023-09-29,9.0,6.0,0.0,9,0,26.0,65.38461538461539
2023-09-30,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-10-01,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-10-02,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-10-03,4.0,6.0,0.0,4,0,26.0,84.61538461538461
2023-10-04,3.0,11.0,0.0,3,0,26.0,88.46153846153845
2023-10-05,6.0,10.0,0.0,6,0,26.0,76.92307692307693
2023-10-06,6.0,10.0,0.0,6,0,26.0,76.92307692307693
2023-10-07,9.0,7.0,0.0,9,0,26.0,65.38461538461539
2023-10-08,9.0,7.0,0.0,9,0,26.0,65.38461538461539
2023-10-09,9.0,7.0,0.0,9,0,26.0,65.38461538461539
2023-10-10,9.0,5.0,0.0,9,0,26.0,65.38461538461539
2023-10-11,7.0,7.0,0.0,7,0,26.0,73.07692307692307
2023-10-12,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-10-13,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-10-14,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-10-15,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-10-16,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-10-17,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-10-18,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-10-19,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-10-20,5.0,8.0,0.0,5,0,26.0,80.76923076923077
2023-10-21,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-10-22,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-10-23,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-10-24,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-10-25,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-10-26,8.0,6.0,0.0,8,0,26.0,69.23076923076923
2023-10-27,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-10-28,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-10-29,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-10-30,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-10-31,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-01,9.0,8.0,0.0,9,0,26.0,65.38461538461539
2023-11-02,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-11-03,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-04,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-05,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-06,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-07,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-08,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-09,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-11-10,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-11-11,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-11-12,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-11-13,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-11-14,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-11-15,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-16,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-11-17,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-11-18,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-19,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-20,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-21,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-11-22,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-11-23,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-11-24,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-11-25,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-11-26,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-11-27,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-11-28,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-11-29,5.0,14.0,0.0,5,0,26.0,80.76923076923077
2023-11-30,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-12-01,7.0,11.0,1.0,7,0,25.0,72.0
2023-12-02,13.0,0.0,0.0,13,0,26.0,50.0
2023-12-03,13.0,0.0,0.0,13,0,26.0,50.0
2023-12-04,13.0,0.0,0.0,13,0,26.0,50.0
2023-12-05,10.0,1.0,0.0,10,0,26.0,61.53846153846154
2023-12-06,10.0,1.0,0.0,10,0,26.0,61.53846153846154
2023-12-07,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2023-12-08,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-12-09,8.0,7.0,0.0,8,0,26.0,69.23076923076923
2023-12-10,8.0,7.0,0.0,8,0,26.0,69.23076923076923
2023-12-11,7.0,8.0,0.0,7,0,26.0,73.07692307692307
2023-12-12,7.0,6.0,0.0,7,0,26.0,73.07692307692307
2023-12-13,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-12-14,9.0,7.0,0.0,9,0,26.0,65.38461538461539
2023-12-15,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-12-16,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-12-17,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-12-18,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-12-19,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-12-20,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-12-21,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-12-22,8.0,5.0,0.0,8,0,26.0,69.23076923076923
2023-12-23,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2023-12-24,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2023-12-25,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2023-12-26,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2023-12-27,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2023-12-28,10.0,6.0,0.0,10,0,26.0,61.53846153846154
2023-12-29,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-12-30,11.0,2.0,0.0,11,0,26.0,57.692307692307686
2023-12-31,11.0,2.0,0.0,11,0,26.0,57.692307692307686
2024-01-01,11.0,2.0,0.0,11,0,26.0,57.692307692307686
2024-01-02,13.0,0.0,0.0,13,0,26.0,50.0
2024-01-03,11.0,1.0,0.0,11,0,26.0,57.692307692307686
2024-01-04,8.0,5.0,0.0,8,0,26.0,69.23076923076923
2024-01-05,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2024-01-06,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2024-01-07,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2024-01-08,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2024-01-09,10.0,4.0,0.0,10,0,26.0,61.53846153846154
2024-01-10,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2024-01-11,9.0,5.0,0.0,9,0,26.0,65.38461538461539
2024-01-12,8.0,6.0,0.0,8,0,26.0,69.23076923076923
2024-01-13,9.0,6.0,0.0,9,0,26.0,65.38461538461539
2024-01-14,9.0,6.0,0.0,9,0,26.0,65.38461538461539
2024-01-15,9.0,6.0,0.0,9,0,26.0,65.38461538461539
2024-01-16,9.0,7.0,0.0,9,0,26.0,65.38461538461539
2024-01-17,9.0,8.0,0.0,9,0,26.0,65.38461538461539
2024-01-18,8.0,7.0,0.0,8,0,26.0,69.23076923076923
2024-01-19,5.0,11.0,2.0,5,0,24.0,79.16666666666666
2024-01-20,6.0,12.0,2.0,6,0,24.0,75.0
2024-01-21,6.0,12.0,2.0,6,0,24.0,75.0
2024-01-22,5.0,13.0,2.0,5,0,24.0,79.16666666666666
2024-01-23,7.0,10.0,2.0,7,0,24.0,70.83333333333334
2024-01-24,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2024-01-25,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2024-01-26,8.0,7.0,2.0,8,0,24.0,66.66666666666666
2024-01-27,9.0,5.0,2.0,9,0,24.0,62.5
2024-01-28,8.0,7.0,2.0,8,0,24.0,66.66666666666666
2024-01-29,9.0,6.0,2.0,9,0,24.0,62.5
2024-01-30,9.0,6.0,2.0,9,0,24.0,62.5
2024-01-31,8.0,8.0,2.0,8,0,24.0,66.66666666666666
