Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-04-10,26.0,1.0,0.9615384615384616,2589.0,115.0,0.9555813055233681
2023-04-11,26.0,1.0,0.9615384615384616,2615.0,116.0,0.955640535372849
2023-04-12,26.0,0.0,1.0,2641.0,116.0,0.9560772434683832
2023-04-13,26.0,0.0,1.0,2667.0,116.0,0.9565054368203975
2023-04-14,26.0,0.0,1.0,2693.0,116.0,0.9569253620497586
2023-04-15,26.0,0.0,1.0,2719.0,116.0,0.9573372563442442
2023-04-16,26.0,1.0,0.9615384615384616,2745.0,117.0,0.9573770491803278
2023-04-17,26.0,0.0,1.0,2771.0,117.0,0.9577769758210033
2023-04-18,26.0,1.0,0.9615384615384616,2797.0,118.0,0.957811941365749
2023-04-19,26.0,1.0,0.9615384615384616,2823.0,119.0,0.9578462628409493
2023-04-20,26.0,0.0,1.0,2849.0,119.0,0.9582309582309583
2023-04-21,26.0,0.0,1.0,2875.0,119.0,0.9586086956521739
2023-04-22,26.0,2.0,0.9230769230769231,2901.0,121.0,0.958290244743192
2023-04-23,26.0,2.0,0.9230769230769231,2927.0,123.0,0.95797745131534
2023-04-24,26.0,2.0,0.9230769230769231,2953.0,125.0,0.9576701659329495
2023-04-25,26.0,0.0,1.0,2979.0,125.0,0.9580396106075865
2023-04-26,26.0,0.0,1.0,3005.0,125.0,0.9584026622296173
2023-04-27,26.0,0.0,1.0,3031.0,125.0,0.9587594853183767
2023-04-28,26.0,0.0,1.0,3057.0,125.0,0.9591102387962054
2023-04-29,26.0,2.0,0.9230769230769231,3083.0,127.0,0.958806357444048
2023-04-30,26.0,2.0,0.9230769230769231,3109.0,129.0,0.9585075587005468
2023-05-01,26.0,2.0,0.9230769230769231,3135.0,131.0,0.958213716108453
2023-05-02,26.0,1.0,0.9615384615384616,3161.0,132.0,0.9582410629547612
2023-05-03,26.0,1.0,0.9615384615384616,3187.0,133.0,0.9582679636021336
2023-05-04,26.0,0.0,1.0,3213.0,133.0,0.9586056644880174
2023-05-05,26.0,0.0,1.0,3239.0,133.0,0.9589379438098179
2023-05-06,26.0,0.0,1.0,3265.0,133.0,0.9592649310872894
2023-05-07,26.0,0.0,1.0,3291.0,133.0,0.9595867517471893
2023-05-08,26.0,0.0,1.0,3317.0,133.0,0.9599035272836901
2023-05-09,26.0,3.0,0.8846153846153846,3343.0,136.0,0.9593179778641938
2023-05-10,26.0,0.0,1.0,3369.0,136.0,0.9596319382606114
2023-05-11,26.0,0.0,1.0,3395.0,136.0,0.9599410898379971
2023-05-12,26.0,0.0,1.0,3421.0,136.0,0.9602455422391114
2023-05-13,26.0,1.0,0.9615384615384616,3447.0,137.0,0.9602552944589499
